Job Title,Date Published,Job Type,Company Name,Contingency,Location Full,URL,Perks (coming soon),Seniority,Seniority slug,Functional Area,Functional Area Slug
Sr Manager GTM G&A Talent Team,08/14/2023,Full Time,CrowdStrike,No,Remote ;,https://www.crowdstrike.com/careers/,remotefriendly ; paidparentalleave ; ,Mid Level,mid-level,People Ops,people-ops
Product Marketing Manager,08/23/2023,Full Time,Discord,No,Remote ;,https://discord.com/careers,remotefriendly ; paidparentalleave ;  womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Marketing,marketing
Customer Solutions Engineer,08/14/2023,Full Time,Discord,No,Remote ;,https://discord.com/careers,remotefriendly ; paidparentalleave ;  womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Other,zother
Technical Content Writer,08/14/2023,Full Time,Discord,No,Remote ;,https://discord.com/careers,remotefriendly ; paidparentalleave ;  womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Marketing,marketing
Lead Analyst,08/28/2023,Full Time,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Mid Level,mid-level,Project Management,project-management
Sr. Solution Architect,08/28/2023,Full Time,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
Sr .Net Developer w/ AWS experience,08/28/2023,Full Time,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
"Sr Manager, App Dev",08/13/2023,Internship,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
Sr. Solution Architect,08/13/2023,Full Time,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
Lead DevOps Engineer,08/13/2023,Full Time,Federal Reserve Bank of San Francisco,No,CA-San Francisco ;,https://www.frbsf.org/our-district/careers/,,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity
Product Manager,08/27/2023,Freelance,Firemon,Yes,Remote ;,https://www.firemon.com,,Mid Level,mid-level,Product,product
Engineering Lead Manager,08/20/2023,Full Time,GFiber,No,TN-Nashville ;,https://fiber.google.com/,,Mid Level,mid-level,Operations,operations
Platform Engineering Manager,08/29/2023,Full Time,Honeycomb.io,No,Remote ;,https://www.honeycomb.io/,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ;,Management,z-management,Engineering,engineering
Senior Product Engineer,08/20/2023,Full Time,Honeycomb.io,No,Remote ;,https://www.honeycomb.io/,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ;,Senior Level,senior-level,Engineering,engineering
Technical Project Manager - Google Analytics/Digital Analytics,08/26/2023,Full Time,InfoTrust,No,Remote ; US ;,https://infotrust.com/,,Mid Level,mid-level,Other,zother
DevOps Engineer,08/13/2023,Internship,iZotope,No,MA-Boston ;,http://izotope.com,remotefriendly ; unlimitedvacation ; paidparentalleave ;,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity
Software Engineering Manager,08/30/2023,Full Time,Latinas in Tech,No,TX-Austin ; TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering
Director of Marketing Operations,08/28/2023,Internship,Lattice,No,Remote ;,https://lattice.com/,,Management,z-management,Marketing,marketing
"Vice President, Product and Segment Marketing",08/28/2023,Full Time,Lattice,No,Remote ; CA-San Francisco ;,https://lattice.com/,,Management,z-management,Marketing,marketing
"Staff Software Engineer, iOS",08/19/2023,Full Time,Macy's,No,Remote ; CA-San Francisco ; UT-Other ; WA-Seattle ;,https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001,remotefriendly ; unlimitedvacation ; paidparentalleave ; womenintecherg ; ,Senior Level,senior-level,Engineering,engineering
Strategic Finance Manager Operations,08/19/2023,Freelance,Macy's,Yes,CA-San Francisco ;,https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1002,remotefriendly ; unlimitedvacation ; paidparentalleave ; womenintecherg ; ,Mid Level,mid-level,Finance,finance
Strategic Finance Senior Associate,08/19/2023,Full Time,Macy's,No,Remote ;,https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1003,remotefriendly ; unlimitedvacation ; paidparentalleave ; womenintecherg ; ,Mid Level,mid-level,Finance,finance
"Associate, Capital Management",08/19/2023,Freelance,Macy's,Yes,Remote ; CA-San Francisco ; NY-New York City ; UT-Salt Lake City ;,https://ebwh.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1004,remotefriendly ; unlimitedvacation ; paidparentalleave ; womenintecherg ; ,Mid Level,mid-level,Finance,finance
Software Engineer (L5) - AVTnT (Audio Video Test & Tools),08/30/2023,Full Time,Netflix,No,CA-Other ;,https://jobs.netflix.com/?utm_campaign=LIHomePage&utm_source=linkedin,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Engineering,engineering
"Senior Manager, Site Reliability Engineering",08/29/2023,Full Time,Netflix,No,Remote ;,https://jobs.netflix.com/search,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering
Systems Software Engineer (E4) - Device Platform Infrastructure,08/22/2023,Full Time,Netflix,No,CA-Other ;,https://jobs.netflix.com/?utm_campaign=LIHomePage&utm_source=linkedin,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Engineering,engineering
Lead Data Engineer,08/14/2023,Freelance,New Relic,Yes,Remote ;,https://newrelic.com/,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Other,zother
Senior Frontend Software Engineer - (Remote),08/14/2023,Full Time,New Relic,No,Remote ;,https://newrelic.com/,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
Principal Software Engineer,08/29/2023,Full Time,Nike,No,OR-Portland ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
Principal Data Engineer,08/29/2023,Temporary,Nike,Yes,Remote ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
Director of Engineering - AI/ML Technology Foundation,08/29/2023,Freelance,Nike,Yes,Remote ;,http://jobs.nike.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering
"Principal, Responsible Technology",08/21/2023,Full Time,Omidyar Network,No,Hybrid ; CA-San Francisco ; CA-Other ; DC-Washington ; DC-Other ; MD-Baltimore ; MD-Other ; NY-New York City ; NY-Other ; VA-Arlington ; VA-Other ;,https://omidyar.com/,,Mid Level,mid-level,Business Strategy,business-strategy
Senior Product Manager,08/21/2023,Full Time,Orum.io,No,Remote ;,https://orum.io/,,Mid Level,mid-level,Product,product
LAC Software Engineering Manager,08/30/2023,Full Time,Qualtrics,No,Mexico ;,http://qualtrics.com,remotefriendly ; paidparentalleave ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Engineering,engineering
"Manager, Partnership Success",08/19/2023,Freelance,SoFi,Yes,CA-San Francisco ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Business Dev / Partnerships,business-dev-partnerships
Sr. Data Scientist (Relay),08/19/2023,Freelance,SoFi,Yes,Remote ; CA-San Francisco ; NY-New York City ; UT-Other ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Data & Analytics,data-analytics
Senior Software Engineer,08/19/2023,Full Time,SoFi,No,UT-Other ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
People Operations Associate,08/19/2023,Freelance,SoFi,Yes,UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Human Resources,human-resources
Privacy Manager,08/19/2023,Full Time,SoFi,No,Remote ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Legal,legal
Collections Associate - Credit Card,08/19/2023,Internship,SoFi,No,FL-Other ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations
Facilities and Real Estate Manager,08/19/2023,Full Time,SoFi,No,CA-San Francisco ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Operations,operations
"Manager, Fraud Investigations",08/19/2023,Full Time,SoFi,No,CA-Other ; FL-Other ; TX-Dallas ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Operations,operations
Member Service Representative- SoFi Money,08/19/2023,Internship,SoFi,No,FL-Other ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations
Senior Business Operations Analyst,08/19/2023,Full Time,SoFi,No,FL-Other ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,Operations,operations
"Principal Product Manager, SoFi Bank",08/19/2023,Freelance,SoFi,Yes,CA-San Francisco ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Product,product
"Senior Product Manager, Invest",08/19/2023,Freelance,SoFi,Yes,Remote ; CA-San Francisco ; NY-New York City ; UT-Salt Lake City ; WA-Seattle ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Product,product
"Credit Risk Manager, Risk Management – Credit Card",08/19/2023,Full Time,SoFi,No,FL-Other ; TX-Dallas ; UT-Salt Lake City ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,IT & Cybersecurity,it-cybersecurity
"Senior Risk Data Analyst, Fraud Prevention",08/19/2023,Full Time,SoFi,No,Remote ; CA-San Francisco ; NY-New York City ; TX-Dallas ;,http://www.sofi.com/careers,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Junior Level,entry-level,IT & Cybersecurity,it-cybersecurity
"Senior Sales Manager, Mexico",08/16/2023,Internship,Sonos,No,Remote ;,https://www.sonos.com/en-us/life-at-sonos,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Sales,sales
Senior QA Engineer,08/16/2023,Freelance,Sovos,Yes,MA-Other ;,https://hrbrg.co/gpi756,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
Software Engineer III - .NET,08/15/2023,Freelance,Sovos,Yes,MN-Other ;,https://hrbrg.co/gpi756,,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity
"Manager, UX",08/15/2023,Full Time,Sovos,No,GA-Atlanta ;,https://hrbrg.co/gpi756,,Management,z-management,IT & Cybersecurity,it-cybersecurity
Senior Policy Admin & Billing Developer,08/28/2023,Internship,State Compensation Insurance Fund,No,CA-Other ;,http://statefundca.com,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity
Senior Director Product Management,08/16/2023,Full Time,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Product,product
Sr. Product Manager,08/15/2023,Temporary,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Mid Level,mid-level,Product,product
Product Manager,08/15/2023,Temporary,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Junior Level,entry-level,Product,product
Staff Systems Engineer,08/15/2023,Internship,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Mid Level,mid-level,Engineering,engineering
Sr. Systems Engineer,08/15/2023,Full Time,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
Sr. User Experience Designers,08/15/2023,Freelance,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Design,design
Principal Software Engineer,08/15/2023,Internship,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering
Member of Technical Staff 2,08/21/2023,Full Time,VMWare,No,Remote ;,http://www.vmware.com,,Junior Level,entry-level,Engineering,engineering
Database Administrator,08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,http://wikimediafoundation.org,,Mid Level,mid-level,Engineering,engineering
"Senior Product Manager, Platform",08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Product,product
Staff Site Reliability Engineer (Traffic),08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Engineering,engineering
Senior Software Engineer - Structured Data,08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Engineering,engineering
Software Engineer III - Web Team,08/27/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Product,product
Lead Counsel,08/23/2023,Temporary,Wikimedia Foundation,Yes,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Legal,legal
Data Visualization Specialist (Contract),08/22/2023,Full Time,Wikimedia Foundation,No,Remote ; US ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Data & Analytics,data-analytics
Senior Project Manager (Communications),08/15/2023,Temporary,Wikimedia Foundation,Yes,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Project Management,project-management
"Data Center Engineer (contract, part-time)",08/12/2023,Full Time,Wikimedia Foundation,No,TX-Other ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Engineering,engineering
Integrated Marketing Specialist,08/12/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Marketing,marketing
Legal Fellow (Spring 2023),08/12/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Junior Level,entry-level,Legal,legal
Aspire Program – Tech Careers for Women,08/14/2023,Full Time,Wiley Edge,No,NY-New York City ;,https://www.wileyedge.com,,Junior Level,entry-level,Engineering,engineering
